1;0.39813709259033203;10;170.0;0;[ 0  1  2  3  4  5  6  7  8 53];1;1
2;0.8402671813964844;10;170.0;0.0;[ 0  1  2  3  4  5  6  7  8 53];2;2
3;1.3337271213531494;10;170.0;85.0;[ 0  1  2  3  4  5  6  7  8 53];2;3
4;1.8576602935791016;10;170.0;123.0;[ 0  1  2  3  4  5  6  7  8 53];2;4
5;2.4125471115112305;10;170.0;146.5;[ 0  1  2  3  4  5  6  7  8 53];2;5
6;2.9776980876922607;10;170.0;157.6875;[ 0  1  2  3  4  5  6  7  8 53];2;6
7;3.564307928085327;10;170.0;163.84375;[ 0  1  2  3  4  5  6  7  8 53];2;7
8;4.1787803173065186;10;170.0;166.8515625;[ 0  1  2  3  4  5  6  7  8 53];2;8
8;4.433577060699463;10;170.0;168.42578125;[ 0  1  2  3  4  5  6  7  8 53];0;9
1;0.3854939937591553;10;170.0;0;[ 0  1  2  3  4  5  6  7  8 53];1;1;0;0
2;0.8256168365478516;10;170.0;0.0;[ 0  1  2  3  4  5  6  7  8 53];2;2;1;0
3;1.295994758605957;10;170.0;85.0;[ 0  1  2  3  4  5  6  7  8 53];2;3;2;0
4;1.7969849109649658;10;170.0;123.0;[ 0  1  2  3  4  5  6  7  8 53];2;4;3;0
5;2.320246934890747;10;170.0;146.5;[ 0  1  2  3  4  5  6  7  8 53];2;5;4;0
6;2.874189853668213;10;170.0;157.6875;[ 0  1  2  3  4  5  6  7  8 53];2;6;5;0
7;3.453902006149292;10;170.0;163.84375;[ 0  1  2  3  4  5  6  7  8 53];2;7;6;0
8;4.0840349197387695;10;170.0;166.8515625;[  0   1   2   3  53  64 123 128 218 239];2;8;7;1
8;4.317234754562378;10;170.0;170.0;[  0   1   2   3  53  64 123 128 218 239];0;8;7;1
1;0.4015810489654541;10;170.0;0;[ 0  1  2  3  4  5  6  7  8 53];1;1;0;0
2;0.8489570617675781;10;170.0;0.0;[ 0  1  2  3  4  5  6  7  8 53];2;2;1;0
3;1.335541009902954;10;170.0;85.0;[ 0  1  2  3  4  5  6  7  8 53];2;3;2;0
4;1.8532581329345703;10;170.0;123.0;[ 0  1  2  3  4  5  6  7  8 53];2;4;3;0
5;2.396088123321533;10;170.0;146.5;[ 0  1  2  3  4  5  6  7  8 53];2;5;4;0
6;2.9617600440979004;10;170.0;157.6875;[ 0  1  2  3  4  5  6  7  8 53];2;6;5;0
7;3.5599710941314697;10;170.0;163.84375;[ 0  1  2  3  4  5  6  7  8 53];2;7;6;0
8;4.192541122436523;10;170.0;166.8515625;[  0   1   2   3  53  64 123 128 218 239];2;8;7;1
8;4.423352241516113;10;170.0;170.0;[  0   1   2   3  53  64 123 128 218 239];0;8;7;1
