1;0.4038262367248535;10;134.0;0;[  0   1   2   3   4   5   6   7   8 109];1;1;0;0
2;0.8177080154418945;10;134.0;0.0;[  0   1   2   3   4   7  88  90 108 109];1;1;0;0
3;1.3230152130126953;10;134.0;0.0;[  0   1   2   3   4   7  88  90 108 109];2;2;0.055754899978637695;1
4;1.886277198791504;10;132.375;67.0;[  0   1   2   3   4   7  88  90 108 109];2;3;0.15539932250976562;3
5;2.516679286956787;10;131.40625;100.5;[  0   1   2   3   4   7  88  90 108 109];2;4;0.30361294746398926;6
6;3.26672101020813;10;131.40625;114.65625;[  0   1   2   3   4   7  88  90 108 109];2;5;0.560523509979248;10
7;4.029770135879517;10;131.314453125;123.03125;[  0   1   2   3   4   7  88  90 108 109];2;6;0.808039665222168;15
7;4.424148082733154;10;131.314453125;131.3046875;[  0   1   2   3   4   7  88  90 108 109];0;6;1.105119228363037;21
1;0.3903388977050781;10;134.0;0;[  0   1   2   3   4   5   6   7   8 109];1;1;0;0
2;0.7967040538787842;10;134.0;0.0;[  0   1   2   3   4   7  88  90 108 109];1;1;0;0
3;1.2782330513000488;10;134.0;0.0;[  0   1   2   3   4   7  88  90 108 109];2;2;0.056318044662475586;1
4;1.8276588916778564;10;132.375;67.0;[  0   1   2   3   4   7  88  90 108 109];2;3;0.15740180015563965;3
5;2.4460818767547607;10;131.40625;100.5;[  0   1   2   3   4   7  88  90 108 109];2;4;0.3077809810638428;6
6;3.184246063232422;10;131.40625;114.65625;[  0   1   2   3   4   7  88  90 108 109];2;5;0.56368088722229;10
7;3.923231840133667;10;131.314453125;123.03125;[  0   1   2   3   4   7  88  90 108 109];2;6;0.8125174045562744;15
7;4.322926998138428;10;131.314453125;131.3046875;[  0   1   2   3   4   7  88  90 108 109];0;6;1.1148860454559326;21
